elliptical_sentences,,,,,full_sentences,,,,,contrast_sentences,,,,,tree_type
Mary will study TV shows and Sarah will,,,,,Mary will study TV shows and Sarah will TV shows,,,,,Mary will study TV shows and Sarah learns,,,,,1
Sarah cannot like pizza but Tim can,,,,,Sarah cannot like pizza but Tim can like pizza,,,,,Sarah cannot like pizza but Tim appreciates,,,,,1
Mary will study math and Tim will,,,,,Mary will study math and Tim will study math,,,,,Mary will study math and Tim learns,,,,,1
John cannot like movies but Sarah can,,,,,John cannot like movies but Sarah can like movies,,,,,John cannot like movies but Sarah appreciates,,,,,1
Tim can teach tennis and Mary can,,,,,Tim can teach tennis and Mary can teach tennis,,,,,Tim can teach tennis and Mary tutors,,,,,1
Sarah cannot cook pizza but John can,,,,,Sarah cannot cook pizza but John can cook pizza,,,,,Sarah cannot cook pizza but John makes,,,,,1
Mary will watch TV shows and John will,,,,,Mary will watch TV shows and John will TV shows,,,,,Mary will watch TV shows and John sees,,,,,1
John can watch movies but Sarah cannot,,,,,John can watch movies but Sarah cannot watch movies,,,,,John can watch movies but Sarah sees,,,,,1
Sarah will like poems and John will,,,,,Sarah will like poems and John will like poems,,,,,Sarah will like poems and John appreciates,,,,,1
Mary can play chess but Sarah cannot,,,,,Mary can play chess but Sarah cannot play chess,,,,,Mary can play chess but Sarah participates,,,,,1
John can like sushi but Tim cannot,,,,,John can like sushi but Tim cannot like sushi,,,,,John can like sushi but Tim appreciates,,,,,1
Mary cannot watch TV shows but Sarah can,,,,,Mary cannot watch TV shows but Sarah can TV shows,,,,,Mary cannot watch TV shows but Sarah sees,,,,,1
John cannot like chess but Sarah can,,,,,John cannot like chess but Sarah can like chess,,,,,John cannot like chess but Sarah appreciates,,,,,1
Sarah cannot like tea but Tim can,,,,,Sarah cannot like tea but Tim can like tea,,,,,Sarah cannot like tea but Tim appreciates,,,,,1
John can study coffee but Tim cannot,,,,,John can study coffee but Tim cannot study coffee,,,,,John can study coffee but Tim learns,,,,,1
Mary can teach tennis and Sarah can,,,,,Mary can teach tennis and Sarah can teach tennis,,,,,Mary can teach tennis and Sarah tutors,,,,,1
Sarah will study math and John will,,,,,Sarah will study math and John will study math,,,,,Sarah will study math and John learns,,,,,1
John can play tennis and Tim can,,,,,John can play tennis and Tim can play tennis,,,,,John can play tennis and Tim participates,,,,,1
Sarah will teach music and John will,,,,,Sarah will teach music and John will teach music,,,,,Sarah will teach music and John tutors,,,,,1
John cannot watch movies but Tim can,,,,,John cannot watch movies but Tim can watch movies,,,,,John cannot watch movies but Tim sees,,,,,1
Sarah will like tea and John will,,,,,Sarah will like tea and John will like tea,,,,,Sarah will like tea and John appreciates,,,,,1
Mary will like novel and Tim will,,,,,Mary will like novel and Tim will like novel,,,,,Mary will like novel and Tim appreciates,,,,,1
Mary cannot like history but Tim can,,,,,Mary cannot like history but Tim can like history,,,,,Mary cannot like history but Tim appreciates,,,,,1
Sarah cannot like sushi but Mary can,,,,,Sarah cannot like sushi but Mary can like sushi,,,,,Sarah cannot like sushi but Mary appreciates,,,,,1
Sarah cannot like math but Tim can,,,,,Sarah cannot like math but Tim can like math,,,,,Sarah cannot like math but Tim appreciates,,,,,1
Mary cannot study coffee but Tim can,,,,,Mary cannot study coffee but Tim can study coffee,,,,,Mary cannot study coffee but Tim learns,,,,,1
Mary can watch TV shows and Tim can,,,,,Mary can watch TV shows and Tim can TV shows,,,,,Mary can watch TV shows and Tim sees,,,,,1
Tim can study movies and Mary can,,,,,Tim can study movies and Mary can study movies,,,,,Tim can study movies and Mary learns,,,,,1
Sarah cannot study novel but John can,,,,,Sarah cannot study novel but John can study novel,,,,,Sarah cannot study novel but John learns,,,,,1
John will read novel and Tim will,,,,,John will read novel and Tim will read novel,,,,,John will read novel and Tim interprets,,,,,1
Sarah can play chess and Mary can,,,,,Sarah can play chess and Mary can play chess,,,,,Sarah can play chess and Mary participates,,,,,1
John can like math but Tim cannot,,,,,John can like math but Tim cannot like math,,,,,John can like math but Tim appreciates,,,,,1
John will like tennis and Sarah will,,,,,John will like tennis and Sarah will like tennis,,,,,John will like tennis and Sarah appreciates,,,,,1
Mary can watch movies and Tim can,,,,,Mary can watch movies and Tim can watch movies,,,,,Mary can watch movies and Tim sees,,,,,1
John will like movies and Tim will,,,,,John will like movies and Tim will like movies,,,,,John will like movies and Tim appreciates,,,,,1
Tim can cook pizza and Sarah can,,,,,Tim can cook pizza and Sarah can cook pizza,,,,,Tim can cook pizza and Sarah makes,,,,,1
John will watch TV shows and Sarah will,,,,,John will watch TV shows and Sarah will TV shows,,,,,John will watch TV shows and Sarah sees,,,,,1
Mary will like tennis and Sarah will,,,,,Mary will like tennis and Sarah will like tennis,,,,,Mary will like tennis and Sarah appreciates,,,,,1
Sarah will play tennis and John will,,,,,Sarah will play tennis and John will play tennis,,,,,Sarah will play tennis and John participates,,,,,1
Mary cannot watch movies but John can,,,,,Mary cannot watch movies but John can watch movies,,,,,Mary cannot watch movies but John sees,,,,,1
Mary cannot like coffee but Sarah can,,,,,Mary cannot like coffee but Sarah can like coffee,,,,,Mary cannot like coffee but Sarah appreciates,,,,,1
Mary will study tea and Sarah will,,,,,Mary will study tea and Sarah will study tea,,,,,Mary will study tea and Sarah learns,,,,,1
John cannot like poems but Mary can,,,,,John cannot like poems but Mary can like poems,,,,,John cannot like poems but Mary appreciates,,,,,1
Sarah cannot teach history but John can,,,,,Sarah cannot teach history but John can teach history,,,,,Sarah cannot teach history but John tutors,,,,,1
Sarah will like coffee and Tim will,,,,,Sarah will like coffee and Tim will like coffee,,,,,Sarah will like coffee and Tim appreciates,,,,,1
John can like pizza but Mary cannot,,,,,John can like pizza but Mary cannot like pizza,,,,,John can like pizza but Mary appreciates,,,,,1
Mary can study sushi and Tim can,,,,,Mary can study sushi and Tim can study sushi,,,,,Mary can study sushi and Tim learns,,,,,1
John cannot watch TV shows but Sarah can,,,,,John cannot watch TV shows but Sarah can TV shows,,,,,John cannot watch TV shows but Sarah sees,,,,,1
John will like tennis and Mary will,,,,,John will like tennis and Mary will like tennis,,,,,John will like tennis and Mary appreciates,,,,,1
Sarah cannot watch TV shows but John can,,,,,Sarah cannot watch TV shows but John can TV shows,,,,,Sarah cannot watch TV shows but John sees,,,,,1
Tim can teach tennis and Sarah can,,,,,Tim can teach tennis and Sarah can teach tennis,,,,,Tim can teach tennis and Sarah tutors,,,,,1
Tim can study chess and John can,,,,,Tim can study chess and John can study chess,,,,,Tim can study chess and John learns,,,,,1
John can teach chess and Sarah can,,,,,John can teach chess and Sarah can teach chess,,,,,John can teach chess and Sarah tutors,,,,,1
Sarah will study novel and Tim will,,,,,Sarah will study novel and Tim will study novel,,,,,Sarah will study novel and Tim learns,,,,,1
Tim will study movies and Sarah will,,,,,Tim will study movies and Sarah will study movies,,,,,Tim will study movies and Sarah learns,,,,,1
Mary can like coffee but John cannot,,,,,Mary can like coffee but John cannot like coffee,,,,,Mary can like coffee but John appreciates,,,,,1
Mary can cook pizza and Tim can,,,,,Mary can cook pizza and Tim can cook pizza,,,,,Mary can cook pizza and Tim makes,,,,,1
Tim will play tennis and Sarah will,,,,,Tim will play tennis and Sarah will play tennis,,,,,Tim will play tennis and Sarah participates,,,,,1
Sarah cannot study TV shows but John can,,,,,Sarah cannot study TV shows but John can TV shows,,,,,Sarah cannot study TV shows but John learns,,,,,1
John can study music and Sarah can,,,,,John can study music and Sarah can study music,,,,,John can study music and Sarah learns,,,,,1
Tim can study history and Mary can,,,,,Tim can study history and Mary can study history,,,,,Tim can study history and Mary learns,,,,,1
John will like tennis and Tim will,,,,,John will like tennis and Tim will like tennis,,,,,John will like tennis and Tim appreciates,,,,,1
John can teach math but Sarah cannot,,,,,John can teach math but Sarah cannot teach math,,,,,John can teach math but Sarah tutors,,,,,1
Tim cannot like sushi but Sarah can,,,,,Tim cannot like sushi but Sarah can like sushi,,,,,Tim cannot like sushi but Sarah appreciates,,,,,1
Mary can cook pizza but Sarah cannot,,,,,Mary can cook pizza but Sarah cannot cook pizza,,,,,Mary can cook pizza but Sarah makes,,,,,1
Sarah will study novel and John will,,,,,Sarah will study novel and John will study novel,,,,,Sarah will study novel and John learns,,,,,1
Tim will like math and John will,,,,,Tim will like math and John will like math,,,,,Tim will like math and John appreciates,,,,,1
Sarah cannot teach math but Tim can,,,,,Sarah cannot teach math but Tim can teach math,,,,,Sarah cannot teach math but Tim tutors,,,,,1
Tim cannot like chess but Mary can,,,,,Tim cannot like chess but Mary can like chess,,,,,Tim cannot like chess but Mary appreciates,,,,,1
Tim cannot teach music but John can,,,,,Tim cannot teach music but John can teach music,,,,,Tim cannot teach music but John tutors,,,,,1
John can play tennis but Mary cannot,,,,,John can play tennis but Mary cannot play tennis,,,,,John can play tennis but Mary participates,,,,,1
John will like tea and Sarah will,,,,,John will like tea and Sarah will like tea,,,,,John will like tea and Sarah appreciates,,,,,1
John cannot study pizza but Mary can,,,,,John cannot study pizza but Mary can study pizza,,,,,John cannot study pizza but Mary learns,,,,,1
John will cook pizza and Sarah will,,,,,John will cook pizza and Sarah will cook pizza,,,,,John will cook pizza and Sarah makes,,,,,1
Mary can study music but John cannot,,,,,Mary can study music but John cannot study music,,,,,Mary can study music but John learns,,,,,1
Sarah will study tea and Mary will,,,,,Sarah will study tea and Mary will study tea,,,,,Sarah will study tea and Mary learns,,,,,1
Tim will like chess and Mary will,,,,,Tim will like chess and Mary will like chess,,,,,Tim will like chess and Mary appreciates,,,,,1
Mary can teach math and Tim can,,,,,Mary can teach math and Tim can teach math,,,,,Mary can teach math and Tim tutors,,,,,1
Tim can play tennis and Sarah can,,,,,Tim can play tennis and Sarah can play tennis,,,,,Tim can play tennis and Sarah participates,,,,,1
Sarah cannot study movies but Tim can,,,,,Sarah cannot study movies but Tim can study movies,,,,,Sarah cannot study movies but Tim learns,,,,,1
John can read poems and Sarah can,,,,,John can read poems and Sarah can read poems,,,,,John can read poems and Sarah interprets,,,,,1
Sarah will study history and Mary will,,,,,Sarah will study history and Mary will study history,,,,,Sarah will study history and Mary learns,,,,,1
Tim cannot teach chess but Mary can,,,,,Tim cannot teach chess but Mary can teach chess,,,,,Tim cannot teach chess but Mary tutors,,,,,1
Mary will watch TV shows and Tim will,,,,,Mary will watch TV shows and Tim will TV shows,,,,,Mary will watch TV shows and Tim sees,,,,,1
John cannot cook pizza but Sarah can,,,,,John cannot cook pizza but Sarah can cook pizza,,,,,John cannot cook pizza but Sarah makes,,,,,1
John can read poems and Mary can,,,,,John can read poems and Mary can read poems,,,,,John can read poems and Mary interprets,,,,,1
Tim will like movies and Mary will,,,,,Tim will like movies and Mary will like movies,,,,,Tim will like movies and Mary appreciates,,,,,1
Mary will like TV shows and Sarah will,,,,,Mary will like TV shows and Sarah will TV shows,,,,,Mary will like TV shows and Sarah appreciates,,,,,1
Tim will teach history and Sarah will,,,,,Tim will teach history and Sarah will teach history,,,,,Tim will teach history and Sarah tutors,,,,,1
Mary cannot like movies but Sarah can,,,,,Mary cannot like movies but Sarah can like movies,,,,,Mary cannot like movies but Sarah appreciates,,,,,1
Tim cannot play chess but John can,,,,,Tim cannot play chess but John can play chess,,,,,Tim cannot play chess but John participates,,,,,1
John will like coffee and Mary will,,,,,John will like coffee and Mary will like coffee,,,,,John will like coffee and Mary appreciates,,,,,1
Sarah can study TV shows and Tim can,,,,,Sarah can study TV shows and Tim can TV shows,,,,,Sarah can study TV shows and Tim learns,,,,,1
Tim can watch movies and John can,,,,,Tim can watch movies and John can watch movies,,,,,Tim can watch movies and John sees,,,,,1
